ID_Properti,Alamat,Kota,Tipe_Properti,Harga_Beli_Properti,Harga_Jual_Properti,Biaya_Operasional_Tahunan,Kenaikan_Harga,Kelas_Fasilitas_Sekitar,Luas_Bangunan,Usia_Properti
PID0032,Jl Brigjend Slamet Riyadi,Malang,Apartemen,3959596178,4743520454,1634479240.817056,10,Kantor;Pusat Perbelanjaan;Transportasi Umum,742,42
PID0033,Jl Ijen Nirwana,Malang,Rumah Tunggal,5570151427,6419514434,1872300356.9845023,9,Objek Wisata;Pusat Hiburan,372,23
PID0034,Jl A Yani,Banyuwangi,Komplek Perumahan,8621656830,10121529434,3285272159.393375,7,Objek Wisata,520,16
PID0035,Jl Tunjungan,Surabaya,Gudang,5508251190,6360668115,161086960.07442078,3,Pabrik,469,19
PID0036,Jl Anjasmoro,Blitar,Komplek Perumahan,8442576055,9081513309,112864510.4454938,3,"Pabrik, Taman",703,42
PID0037,Jl Ijen Nirwana,Malang,Ruko,4984752756,5968248924,1845852961.2044878,7,Kantor;Transportasi Umum,197,29
PID0038,Jl A Yani,Banyuwangi,Gudang,1537978171,1816716416,393289887.0862268,12,Kantor;Pusat Perbelanjaan;Transportasi Umum,89,31
PID0039,Jl Ijen Nirwana,Malang,Apartemen,5398049125,5722272803,2599702171.333475,7,Universitas;Pusat Perbelanjaan;Transportasi Umum,215,33
PID0040,Jl Soekarno Hatta,Malang,Ruko,4524873072,5151842856,1751683596.7637632,7,Objek Wisata,121,36
PID0041,Jl Soekarno Hatta,Malang,Komplek Perumahan,1703029260,1786150938,584657794.9664334,9,Universitas;Kantor;Pusat Perbelanjaan,181,17
PID0042,Jl Anjasmoro,Blitar,Rumah Tunggal,7204087185,8086903281,72040871.85000001,1,"Pabrik, Taman",617,35
PID0043,Jl Raya Buring,Malang,Komplek Perumahan,8647830361,9129229804,1942674100.9514346,7,Universitas;Pusat Perbelanjaan;Transportasi Umum,525,25
PID0044,Jl Oro Oro Ombo,Batu,Vila,2890781106,3205202220,1385889373.29716,11,Kantor;Pusat Perbelanjaan;Transportasi Umum,976,36
PID0045,Jl Tunjungan,Surabaya,Gedung,8433939722,8849494942,85883512.99615352,5,Objek Wisata,447,9
PID0046,Jl Gubeng,Surabaya,Rumah Tunggal,5163934557,5698905543,2200646027.1633234,8,Universitas;Pusat Perbelanjaan;Transportasi Umum,918,36
PID0047,Jl Raya Selecta,Batu,Ruko,3137483763,3628830724,825055548.4899802,13,Pusat Perbelanjaan;Pusat Hiburan,187,46
PID0048,Jl Panglima Sudirman,Pasuruan,Ruko,2155510177,2443737142,895935744.1626905,8,Kantor;Transportasi Umum,332,9
PID0049,Jl Panglima Sudirman,Tulung Agung,Gudang,2102517579,2433749163,25125210.958846144,2,"Pabrik, Taman",144,19
PID0050,Jl Raya Krian,Sidoharjo,Gudang,6452451061,7064777200,2886443917.846095,8,Sekolah;Universitas;Transportasi Umum,320,32
PID0051,Jl Hayam Wuruk,Pasuruan,Rumah Tunggal,6983449942,7304334253,69834499.42,1,Pabrik;Taman;Sekolah,839,14
PID0052,Jl Tunjungan,Surabaya,Ruko,6363416968,6671215368,1633559733.4628422,7,Sekolah;Taman;Pusat Perbelanjaan,926,15
PID0053,Jl Dhoho,Kediri,Gudang,3537402838,3694362435,972784644.8754318,10,Objek Wisata;Pusat Hiburan,834,6
PID0054,Jl Diponegoro,Banyuwangi,Rumah Tunggal,7048932620,7879351208,1909887419.2651567,9,Universitas;Kantor;Pusat Perbelanjaan,895,43
PID0055,Jl Panglima Sudirman,Tulung Agung,Komplek Perumahan,3077003450,3249296201,47367482.943577,3,"Pabrik, Taman",500,43
PID0056,Jl Ahmad Yani,Blitar,Rumah Tunggal,1775927799,2011182989,405763662.7345354,9,Sekolah;Universitas;Transportasi Umum,590,48
PID0057,Jl Mayjen Sungkono,Kediri,Ruko,6252944411,6692311323,2352545261.614202,10,Objek Wisata;Pusat Hiburan,974,34
PID0058,Jl Ahmad Yani,Sidoharjo,Rumah Tunggal,3690268413,3727547962,129357338.53446408,5,Objek Wisata,355,48
PID0059,Jl Diponegoro,Banyuwangi,Rumah Tunggal,4185665188,4869368237,1121544012.3227837,7,Sekolah;Taman;Pusat Perbelanjaan,178,10
PID0060,Jl Brigjend Slamet Riyadi,Malang,Ruko,6823669371,7646079889,1650566912.947076,9,Kantor;Transportasi Umum,776,34
PID0061,Jl Raya Sidoarjo,Sidoharjo,Komplek Perumahan,6736528207,7605321134,135883137.38784146,4,Objek Wisata,936,50
PID0062,Jl Mayjend Sungkono,Surabaya,Gudang,6549663183,7290401957,100777728.93709554,2,Pabrik;Taman;Sekolah,608,49
PID0063,Jl Panglima Sudirman,Pasuruan,Ruko,1434993028,1472729293,482345034.4922307,8,Kantor;Transportasi Umum,792,6
PID0064,Jl Joyoboyo,Kediri,Rumah Tunggal,3763051093,4366423852,836495224.1831746,6,Universitas;Transportasi Umum;Kafe,980,6
PID0065,Jl Tanjung,Blitar,Gudang,7931819671,8200829671,3531592372.1630683,9,Sekolah;Universitas;Transportasi Umum,236,25
PID0066,Jl Brigjend Slamet Riyadi,Malang,Komplek Perumahan,1456963358,1520730623,322993704.32914627,7,Sekolah;Taman;Pusat Perbelanjaan,663,34
PID0067,Jl Brigjend Slamet Riyadi,Malang,Rumah Tunggal,3455896797,3569549082,34558967.97,1,"Pabrik, Taman",449,13
PID0068,Jl Raya Buring,Malang,Gudang,2623022756,2807595531,31874516.455551535,2,"Pabrik, Taman",95,31
PID0069,Jl Pahlawan,Tulung Agung,Ruko,6182404023,6905551794,1679640988.6109958,9,Universitas;Pusat Perbelanjaan;Transportasi Umum,334,48
PID0070,Jl Mayjen Sungkono,Kediri,Ruko,8453987135,8708408315,2277657657.4181437,6,Sekolah;Taman;Pusat Perbelanjaan,381,15
PID0071,Jl Bhayangkara,Mojokerto,Ruko,5030831288,5290708188,2166324860.7140536,9,Universitas;Pusat Perbelanjaan;Transportasi Umum,812,9
PID0072,Jl Soekarno Hatta,Malang,Komplek Perumahan,3117201890,3519811283,792184492.6357574,8,Kantor;Pusat Perbelanjaan;Transportasi Umum,92,36
PID0073,Jl Diponegoro,Surabaya,Komplek Perumahan,7636835195,8728069850,2468658447.669103,8,Universitas;Transportasi Umum;Kafe,548,21
PID0074,Jl Tunjungan,Surabaya,Rumah Tunggal,2145056318,2344155322,828645767.1354684,7,Kantor;Pusat Perbelanjaan;Transportasi Umum,473,6
PID0075,Jl Cokroaminoto,Madiun,Gudang,1413806919,1696215762,691747777.63562,15,Objek Wisata;Pusat Hiburan,105,28
PID0076,Jl Pahlawan,Tulung Agung,Rumah Tunggal,2036869282,2182451686,599081858.5998259,11,Universitas;Kantor;Pusat Perbelanjaan,395,18
PID0077,Jl Pahlawan,Tulung Agung,Gudang,2322897871,2699394583,800595920.3863192,7,Sekolah;Taman;Pusat Perbelanjaan,522,32
PID0078,Jl Veteran,Blitar,Komplek Perumahan,8771624420,10007494021,252293038.49440336,3,Pabrik;Taman;Sekolah,764,42
PID0079,Jl Mawar,Banyuwangi,Rumah Tunggal,4930655699,5714384787,2414227684.6963663,6,Universitas;Transportasi Umum;Kafe,352,18
PID0080,Jl Diponegoro,Surabaya,Rumah Tunggal,5484604628,5912821636,54846046.28,1,Pabrik,956,26
PID0081,Jl Mojopahit,Mojokerto,Komplek Perumahan,5737804478,6865290795,2566671357.1628847,7,Sekolah;Taman;Pusat Perbelanjaan,663,34
PID0082,Jl Trunojoyo,Madiun,Ruko,2837929868,3196705984,1133414372.8145294,9,Sekolah;Universitas;Transportasi Umum,621,31
PID0083,Jl Ijen Nirwana,Malang,Komplek Perumahan,6981500866,8287346635,69815008.66,1,Pabrik,915,14
PID0084,Jl Oro Oro Ombo,Batu,Rumah Tunggal,8716317963,9272405093,2900319343.6668706,9,Universitas;Pusat Perbelanjaan;Transportasi Umum,506,27
PID0085,Jl Bhayangkara,Mojokerto,Komplek Perumahan,8062703434,8286622915,101489980.4795656,3,Pabrik,530,25
PID0086,Jl Raya Buring,Malang,Rumah Tunggal,5994656668,7041883797,1717987901.5480652,9,Kantor;Transportasi Umum,933,17
PID0087,Jl Pemuda,Surabaya,Komplek Perumahan,4768695016,5222427263,1632530989.8148818,7,Sekolah;Universitas;Transportasi Umum,845,8
PID0088,Jl Diponegoro,Surabaya,Komplek Perumahan,1895622470,1981454801,18956224.7,1,"Pabrik, Taman",465,18
PID0089,Jl Tunjungan,Surabaya,Gedung,3889957226,4323983815,1278593608.1556418,12,Kantor;Pusat Perbelanjaan;Transportasi Umum,80,31
PID0090,Jl Tunjungan,Surabaya,Ruko,4303863714,4783243099,1569276650.6285326,7,Kantor;Transportasi Umum,272,27
PID0091,Jl Tanjung,Blitar,Gudang,4459187869,4779818210,77372124.00843374,2,Pabrik,131,20
PID0092,Jl Mawar,Banyuwangi,Rumah Tunggal,5632716332,5856210818,2687392797.680044,9,Kantor;Transportasi Umum,531,9
PID0093,Jl Ijen Nirwana,Malang,Ruko,4721365052,5572635747,2114112797.7964826,8,Universitas;Pusat Perbelanjaan;Transportasi Umum,922,8
PID0094,Jl Tunjungan,Surabaya,Ruko,7664106302,7928458237,2383830170.334461,7,Objek Wisata,726,14
PID0095,Jl Mayjend Sungkono,Surabaya,Rumah Tunggal,3009781138,3362753688,102201800.47844812,4,Objek Wisata,858,36
PID0096,Jl Mayjend Sungkono,Surabaya,Rumah Tunggal,6635752924,7487991811,3121297200.6946692,11,Objek Wisata;Pusat Hiburan,618,36
PID0097,Jl Diponegoro,Surabaya,Rumah Tunggal,6250497985,6890207170,1666928052.8978803,6,Sekolah;Taman;Pusat Perbelanjaan,440,11
PID0098,Jl Ijen Nirwana,Malang,Komplek Perumahan,933907718,1049293654,304859589.3571269,9,Universitas;Kantor;Pusat Perbelanjaan,184,23
PID0099,Jl Pahlawan,Mojokerto,Rumah Tunggal,7810107174,9231005631,199547022.94026312,3,Pabrik;Taman;Sekolah,969,15
PID0100,Jl Raya Buring,Malang,Apartemen,8103749000,8370242682,2911949179.4397407,10,Pusat Perbelanjaan;Pusat Hiburan,999,24
PID0101,Jl Anjasmoro,Blitar,Komplek Perumahan,4743072271,5437225863,1156665891.307623,6,Objek Wisata,251,37
PID0102,Jl Soekarno Hatta,Malang,Vila,7679209384,7924820753,2280021488.9391127,12,Kantor;Pusat Perbelanjaan;Transportasi Umum,163,20
PID0103,Jl Ahmad Yani,Blitar,Ruko,1283988697,1422362664,370270051.50425404,10,Universitas;Pusat Perbelanjaan;Transportasi Umum,511,46
PID0104,Jl Raya Panderman,Batu,Vila,2646278110,2853169822,1318587784.8242157,10,Objek Wisata;Pusat Hiburan,748,50
PID0105,Jl Pahlawan,Pasuruan,Komplek Perumahan,6296497587,6721913284,149162062.93912292,3,Pabrik;Taman;Sekolah,365,21
PID0106,Jl Brigjend Slamet Riyadi,Malang,Komplek Perumahan,7646577818,8209176377,1725572191.3008587,7,Sekolah;Universitas;Transportasi Umum,609,9
PID0107,Jl Mayor Bismo,Kediri,Ruko,5277515039,5466567558,1418386593.3779047,8,Universitas;Pusat Perbelanjaan;Transportasi Umum,775,12
PID0108,Jl Ahmad Dahlan,Banyuwangi,Gudang,6906439807,7879814765,2837191061.4742036,7,Universitas;Transportasi Umum,117,8
PID0109,Jl RA Kartini,Tulung Agung,Komplek Perumahan,5108042082,5389920834,101305436.1640796,2,Pabrik,765,22
PID0110,Jl Ahmad Yani,Blitar,Ruko,8243738364,8496006021,4044426375.629681,14,Pusat Perbelanjaan;Pusat Hiburan,411,30
PID0111,Jl Ijen Nirwana,Malang,Rumah Tunggal,5039917907,5539338166,77206990.98313509,3,Pabrik,836,31
PID0112,Jl Pahlawan,Mojokerto,Ruko,8878617625,9641556351,4414976605.015877,9,Kantor;Transportasi Umum,349,17
PID0113,Jl Pattimura,Batu,Ruko,7609298745,7906008458,2433443378.5976152,7,Universitas;Kantor;Pusat Perbelanjaan,216,24
PID0114,Jl Oro Oro Ombo,Batu,Vila,2620269993,2774198808,746548974.1005723,9,Sekolah;Universitas;Transportasi Umum,165,50
PID0115,Jl Oro Oro Ombo,Batu,Vila,1755927985,1978086675,590864065.8666242,14,Pusat Perbelanjaan;Pusat Hiburan,223,30
PID0116,Jl Mawar,Banyuwangi,Gudang,4478687738,5353933111,48518764.86135556,2,Pabrik;Taman;Sekolah,861,36
PID0117,Jl Diponegoro,Surabaya,Komplek Perumahan,3075612577,3354341427,90194887.77095653,3,Pabrik,498,20
PID0118,Jl Ahmad Dahlan,Banyuwangi,Ruko,7580691763,9071683071,2675072716.4475675,15,Objek Wisata;Pusat Hiburan,329,44
PID0119,Jl Brigjend Slamet Riyadi,Malang,Ruko,2801443354,3010047037,957275600.9565516,9,Universitas;Pusat Perbelanjaan;Transportasi Umum,305,13
PID0120,Jl Raya Selecta,Batu,Rumah Tunggal,5876225843,6901732002,1257482217.7199547,12,Kantor;Pusat Perbelanjaan;Transportasi Umum,419,39
PID0121,Jl Suroyo,Pasuruan,Gudang,871992982,965462743,289668775.9581078,8,Sekolah;Universitas;Transportasi Umum,296,41
PID0122,Jl Mojopahit,Mojokerto,Rumah Tunggal,8856522547,9951363282,3621850731.4534965,12,Objek Wisata;Pusat Hiburan,780,39
PID0123,Jl Hayam Wuruk,Pasuruan,Komplek Perumahan,6725795112,7468316756,1794741272.176302,10,Universitas;Kantor;Pusat Perbelanjaan,866,29
PID0124,Jl Tanjung,Blitar,Komplek Perumahan,5854601645,6857044293,111272892.48876993,2,Pabrik;Taman;Sekolah,624,10
PID0125,Jl Ijen Nirwana,Malang,Vila,4078186371,4781689130,1857148244.7977734,8,Universitas;Transportasi Umum;Kafe,297,47
PID0126,Jl Ijen Nirwana,Malang,Apartemen,6225723529,6313565171,2760075918.471015,8,Kantor;Transportasi Umum,373,33
PID0127,Jl Pattimura,Batu,Ruko,3941498737,4132600210,1266704974.887111,9,Universitas;Transportasi Umum,506,38
PID0128,Jl Teuku Umar,Tulung Agung,Ruko,5381905484,5515683729,1251845242.386729,7,Sekolah;Taman;Pusat Perbelanjaan,720,11
PID0129,Jl Ahmad Yani,Sidoharjo,Komplek Perumahan,8825708215,10466495693,2754102083.165517,6,Objek Wisata,603,45
PID0130,Jl Suroyo,Pasuruan,Ruko,4879886475,5230431056,1565698719.9901006,9,Objek Wisata;Pusat Hiburan,275,22
PID0131,Jl Mayjend Sungkono,Surabaya,Rumah Tunggal,5333437184,5585603102,53334371.84,1,Pabrik,910,24
PID0132,Jl Diponegoro,Surabaya,Rumah Tunggal,8495260824,8908090508,2233648603.6313405,10,Universitas;Pusat Perbelanjaan;Transportasi Umum,946,40
PID0133,Jl Ijen Nirwana,Malang,Apartemen,8786966175,9071315470,1851619455.5076318,8,Universitas;Transportasi Umum;Kafe,810,17
PID0134,Jl Soekarno Hatta,Malang,Komplek Perumahan,3190587801,3655058834,1083710682.668083,7,Sekolah;Taman;Pusat Perbelanjaan,647,47
PID0135,Jl Pahlawan,Mojokerto,Rumah Tunggal,7054771717,7132690026,2819948532.376868,7,Objek Wisata,871,28
PID0136,Jl Mayor Bismo,Kediri,Komplek Perumahan,3031104016,3213318128,1483966375.1451206,13,Universitas;Kantor;Pusat Perbelanjaan,371,33
PID0137,Jl Gubeng,Surabaya,Apartemen,1893900605,2225910219,600013310.4540687,7,Sekolah;Taman;Pusat Perbelanjaan,696,20
PID0138,Jl Diponegoro,Surabaya,Komplek Perumahan,3803552975,3869244204,1207976773.8204913,11,Kantor;Pusat Perbelanjaan;Transportasi Umum,209,25
PID0139,Jl Ahmad Yani,Blitar,Gudang,3016589647,3277202773,37987848.1536415,2,"Pabrik, Taman",318,15
PID0140,Jl Mayjen Sungkono,Kediri,Komplek Perumahan,5415889864,5952853727,71517889.9289985,2,Pabrik;Taman;Sekolah,147,8
PID0141,Jl Panglima Sudirman,Tulung Agung,Komplek Perumahan,3853879525,4377920977,838843174.2848277,7,Kantor;Pusat Perbelanjaan;Transportasi Umum,608,13
PID0142,Jl Mawar,Banyuwangi,Rumah Tunggal,7408533030,7937616966,2730760121.1683187,9,Objek Wisata;Pusat Hiburan,135,17
PID0143,Jl Pahlawan,Madiun,Gudang,4084521411,4381332620,52169089.20481134,2,Pabrik;Taman;Sekolah,461,19
PID0144,Jl Soekarno Hatta,Malang,Rumah Tunggal,5656928420,6113794286,1277907626.4119895,6,Sekolah;Taman;Pusat Perbelanjaan,180,8
PID0145,Jl Diponegoro,Surabaya,Apartemen,3378393526,3861431042,855571625.8096807,7,Objek Wisata,991,12
PID0146,Jl Mojopahit,Mojokerto,Rumah Tunggal,8900000194,9907280080,4040078750.928867,7,Objek Wisata,703,41
PID0147,Jl Tanjung,Blitar,Rumah Tunggal,2408162463,2639882627,578704819.0270401,7,Kantor;Transportasi Umum,612,28
PID0148,Jl Gubeng,Surabaya,Komplek Perumahan,6390509005,7224524356,129614043.36377072,3,Pabrik;Taman;Sekolah,945,16
PID0149,Jl Mayjend Sungkono,Surabaya,Rumah Tunggal,5964466675,6422645727,102788811.43180619,3,Pabrik,414,36
PID0150,Jl Mayjend Sungkono,Surabaya,Rumah Tunggal,1588872251,1875969970,15888722.51,1,Pabrik;Taman;Sekolah,961,12
PID0151,Jl Pemuda,Surabaya,Gedung,1429385784,1615213731,586020993.3280098,6,Sekolah;Taman;Pusat Perbelanjaan,844,43
PID0152,Jl Pahlawan,Mojokerto,Komplek Perumahan,3514264969,3773700312,35142649.69,1,Pabrik;Taman;Sekolah,777,9
PID0153,Jl Ahmad Yani,Blitar,Gudang,5518502821,5804598885,1661218141.6537926,10,Objek Wisata;Pusat Hiburan,157,28
PID0154,Jl Pahlawan,Tulung Agung,Ruko,6964211572,7772270677,3139698352.1972327,13,Pusat Perbelanjaan;Pusat Hiburan,558,50
PID0155,Jl Diponegoro,Banyuwangi,Gudang,2283803962,2388126619,36501321.561987795,3,"Pabrik, Taman",903,29
PID0156,Jl Mayjend Sungkono,Surabaya,Rumah Tunggal,5067410920,5389259682,2014431777.6538165,9,Sekolah;Universitas;Transportasi Umum,209,46
PID0157,Jl Pemuda,Surabaya,Ruko,1833191073,2169844348,529099104.10738903,6,Universitas;Transportasi Umum,858,28
PID0158,Jl Pemuda,Surabaya,Komplek Perumahan,827901066,880636624,196007442.2066243,7,Universitas;Kantor;Pusat Perbelanjaan,790,40
PID0159,Jl Ijen Nirwana,Malang,Gudang,4646934108,5186905573,46469341.08,1,Pabrik,969,25
PID0160,Jl Bhayangkara,Mojokerto,Gudang,8308682501,8466472909,114674041.77505523,2,Pabrik,692,12
PID0161,Jl Mayjen Sungkono,Kediri,Rumah Tunggal,1067940321,1185877150,354933306.65027815,10,Objek Wisata;Pusat Hiburan,235,48
PID0162,Jl Ijen Nirwana,Malang,Ruko,7456796081,8166759068,2415363742.8332615,7,Universitas;Transportasi Umum,173,7
PID0163,Jl Pemuda,Surabaya,Komplek Perumahan,2663367740,2831473885,1282029643.6034749,11,Universitas;Kantor;Pusat Perbelanjaan,532,49
PID0164,Jl Diponegoro,Banyuwangi,Komplek Perumahan,5160257411,5867603146,51602574.11,1,Pabrik;Taman;Sekolah,825,38
PID0165,Jl Brigjend Slamet Riyadi,Malang,Rumah Tunggal,1260440612,1317782094,347060042.0641535,8,Kantor;Transportasi Umum,125,47
PID0166,Jl Panglima Sudirman,Tulung Agung,Komplek Perumahan,1494204727,1590870078,19752919.735228386,3,Pabrik;Taman;Sekolah,245,37
PID0167,Jl Soekarno Hatta,Malang,Ruko,5481166186,6351083691,1245781235.0209098,11,Objek Wisata;Pusat Hiburan,588,27
PID0168,Jl Cokroaminoto,Madiun,Gudang,2868746264,2988558743,1198030222.043364,10,Universitas;Kantor;Pusat Perbelanjaan,529,13
PID0169,Jl Ijen Nirwana,Malang,Apartemen,1107932726,1162147970,18472163.491640642,4,Objek Wisata,972,26
PID0170,Jl Pattimura,Batu,Rumah Tunggal,2510884713,2725558460,615779205.609968,6,Objek Wisata,354,38
PID0171,Jl Joyoboyo,Kediri,Rumah Tunggal,8568492840,9589862347,2926969401.4941807,11,Kantor;Pusat Perbelanjaan;Transportasi Umum,757,33
PID0172,Jl Ahmad Dahlan,Banyuwangi,Komplek Perumahan,2212642630,2267138174,612475676.3621162,10,Kantor;Pusat Perbelanjaan;Transportasi Umum,885,22
PID0173,Jl Raya Buring,Malang,Rumah Tunggal,3466611642,4119166262,829287697.5138315,13,Objek Wisata;Pusat Hiburan,338,8
PID0174,Jl Diponegoro,Surabaya,Ruko,4837965292,5519731560,1379154471.6216285,7,Sekolah;Universitas;Transportasi Umum,390,41
PID0175,Jl Cokroaminoto,Madiun,Rumah Tunggal,2104296415,2344894494,489063215.6751325,15,Pusat Perbelanjaan;Pusat Hiburan,525,30
PID0176,Jl Teuku Umar,Tulung Agung,Komplek Perumahan,7519313976,7861807755,3438146861.3082385,6,Universitas;Transportasi Umum,477,45
PID0177,Jl Mayjend Sungkono,Surabaya,Rumah Tunggal,7284079895,7627397007,3320915232.369708,9,Kantor;Pusat Perbelanjaan;Transportasi Umum,307,29
PID0178,Jl Soekarno Hatta,Malang,Rumah Tunggal,7995138734,8973856494,2462577924.712968,11,Pusat Perbelanjaan;Pusat Hiburan,641,35
PID0179,Jl Panglima Sudirman,Tulung Agung,Gudang,2966619220,3054377054,71800274.31208566,3,"Pabrik, Taman",231,7
PID0180,Jl Gubeng,Surabaya,Gudang,2192262918,2572050607,43106836.89073013,2,"Pabrik, Taman",423,20
PID0181,Jl Ijen Nirwana,Malang,Ruko,3953381889,4326401201,1858301370.2014415,9,Universitas;Kantor;Pusat Perbelanjaan,603,32
PID0182,Jl Joyoboyo,Kediri,Rumah Tunggal,3231916685,3746220937,1559557915.9402742,14,Pusat Perbelanjaan;Pusat Hiburan,100,11
PID0183,Jl Gubeng,Surabaya,Gedung,6783655407,8089098291,1423200033.71785,9,Universitas;Transportasi Umum;Kafe,270,10
PID0184,Jl Raya Panderman,Batu,Ruko,2356117296,2550729386,1176044435.468232,7,Universitas;Transportasi Umum,191,25
PID0185,Jl Pattimura,Batu,Ruko,2050417641,2458804401,490266911.4915033,9,Universitas;Kantor;Pusat Perbelanjaan,776,27
PID0186,Jl Mayor Bismo,Kediri,Rumah Tunggal,4655493936,5264299328,1855017415.813416,7,Objek Wisata,531,29
PID0187,Jl Raya Buring,Malang,Komplek Perumahan,4804579104,5749455662,2046806664.864957,14,Objek Wisata;Pusat Hiburan,652,32
PID0188,Jl Cokroaminoto,Madiun,Komplek Perumahan,1114624320,1248688375,262889077.41932827,12,Pusat Perbelanjaan;Pusat Hiburan,823,50
PID0189,Jl Brigjend Slamet Riyadi,Malang,Apartemen,7972005599,9510522163,162903660.5521626,4,Objek Wisata,261,46
PID0190,Jl Tanjung,Blitar,Komplek Perumahan,7078353755,8094144908,140955788.15844247,3,Pabrik;Taman;Sekolah,450,39
PID0191,Jl Diponegoro,Surabaya,Apartemen,8081060458,8349764795,3993899965.34067,9,Sekolah;Universitas;Transportasi Umum,915,9
PID0192,Jl Mojopahit,Mojokerto,Rumah Tunggal,1875439970,1999867252,733598745.1022677,13,Pusat Perbelanjaan;Pusat Hiburan,485,36
